,Tweet,Score,Prediksi
135,kpu salah entry data tdk hny timpa tp jadi emang betul tp salah entry data timpa,-1,-1
136,kpuid bu salah input udah kriminal palsu dokumen negara lembaga kalau udah,-1,-1
137,lihat hasil real count kpuid sangat amburadul cenderung netral coba poling siapa presiden real,1,1
138,republikaonline system error human error manajemen error kpu error dibukti maya audit jangan ditolak,-1,-1
139,kpu independen pihak siapapun jokowi jokowi,1,1
140,pakai etika sedikit sabar sedikit hasil kpu umum kasih,1,1
141,kpu kitar salah input data dianggap bu tindak curang padahal tim bpn klaim hasil,-1,-1
142,putraerlangga kpu jangan curangi,-1,-1
143,kpuid emang parah in baki kurang kerjaan dibasmi ganti presiden,-1,-1
144,lapor kpuri cek malam situs situng kpu,-1,-1
145,mahasiswa gerak kawan mahasiswa lampung gruduk kpu lampung moga tular daerah jangan diam,-1,1
146,maya ngebet kepengen ketemu prabowo,-1,1
147,situng kpu layak salah input diancam pidana,-1,-1
148,thewarman jokowi prabowo negara namanya hukum laku benar jadi curang milik,1,-1
149,tolak people power aliansi mahasiswa bandung siap kawal kpu,1,-1
150,cucu diri nu gus aam tantang kpu sumpah mubahalah bukti curang,-1,-1
151,didukung golkar jokowi menang suara atas sen pemilu datang,1,1
152,samina wa atona mbah tunjuk jelang,1,1
153,salah semangati kpu lebih penting semangat dirinya tetap sehat,1,1
154,lemhannas minta semua pihak paksa kpu,1,1
155,berjamaah bohong surat suara bakar papua kpu ksp polri rentak kata surat suara pakai,-1,-1
156,kpu curangsurat suara coblossiapa yng untung,1,-1
157,potret curang bpn prabowosandi struktur sistimatis masif bawasluri kpuid saksi prabowo,-1,-1
158,kalian lihat data kpu gelembung suara daerah kalian segeralah ambil buktinya usut curang,-1,-1
159,kata kpu caya kalau kambing ngeong kamu caya,-1,-1
160,imayadewi komisionerkpu kpuid maya klo pemilu jng fokus ama pilpresnya calegnya jg hati,1,1
161,satu salah,-1,-1
162,cuman laksana intah hr pakai alas segala situng kpu bermasalah,1,-1
163,insya allah senin besok mulai puasa ramadhan sama mohon maaf lahir batin moga semua jalan,1,1
164,thearieair makin banyak data masuk makin lebar jarak menang jokowi hadap prabowo inilah ditakut,1,1
165,hasil pleno kpu mulai direkap lets see buat banding versi pleno kpu versi situng kpu vers,-1,1
166,tps ds gorowong parungpanjang bogor jabar suara sah mmbengkak jadi dahnilanzar fadlizon,1,-1
167,alanborut kpuid menang telak jawa barat jawa timur dki banten aceh padang,1,1
168,kpuid masabudiman viryanazis masws novidaevi hsymasyari pramonoutan ksetyawan jangan buta tuli,-1,1
169,siang kpuid update curang jam lampung kota metro barat l tps situng kpu,-1,-1
170,bocah kelas i masuk database katanya security data utamanya aman gimana ahli kira ruang penting kpu,1,1
171,bilang kalian lembaga survey bayar atur quick count adil paling bertanggungjawab atas ricuh,1,1
172,luar biasa hadiah milyar rupiah disedia siapa bukti minimal sen curang dilaku,-1,-1
173,abiyyu msaiddidu kpuid cakkhum zarazettirazr putrabanten maulanatigor lisaamartatara rata merek,1,-1
174,real count kpu sen jokowimaruf unggul sekira juta suara,1,1
175,sabtu pagi hasil hitung via kawalpemilu situng kpuid,1,1
176,gelar ikrar sama syukur warga jakut ajak semua hormatikpu,1,1
177,hoax kontainer surat suara masuk penjara hoax server kpu setting masuk penjara hoax,-1,-1
178,moga kpu tetap amanah komisioner kpu ilham saputra komisi pilih umum kpu curang,1,1
179,maaf caya pilih jadi anggota dpr,1,1
180,kpuid tug tipu rakyat ditipu tinggal tunggu waktu,-1,-1
181,kpu tug angon keong racun,-1,-1
182,awasi us situng kpu jangan rampok keliar,-1,-1
183,amin minta audit forensik kpu jawab hasil pemilu ditentu it klo gitu ngapain pake real count kpu s,-1,1
184,kpu nyata prabowo menang bengkulu caya kpu nyata jokowi menang pilpres caya kpu,1,1
185,situng kpu disusupi c palsu suara jokowi medan naik protes muncul tuding kpu palsu form c diinput situng,-1,-1
186,kpuid kpu rasa cebong,1,1
187,viral copas bpn bangkit bawa bukti lebih salah input situng kpu it bpn desak bawasluri henti,-1,-1
188,msapunya fadlizon kpuid bawasluri curang umum langsung menang,1,1
189,situng kpu baru capai sen,1,1
190,demo relawan prabowosandi kpu kota bogor janji hitung suara jujur buka,1,1
191,kpuid klo berani jurdil hebat,1,1
192,miris video intip server kpu dinilai kelas warungan sedih,-1,1
193,tanda sakit hati menang hasil rekapitulasi kpu ponorogo paslon jokowimaruf,1,1
194,kpuid data tampilan depan dibaiki dibuka eh data sedia naik,1,1
195,semua postingan dihapus lebih dulu akun professor soegianto soelistiono bongkar curang kpu tewas,-1,1
196,ketua kpu tinggal tiba tiba duga diracun kpps ratus lebih tinggal sungguh aneh prihatin,-1,-1
197,kpuid c dipindai suai hasil kpps sama kpu ri dirubah jadi c palsu,-1,-1
198,abotan bekas warnet sekarang disimpan tor kpu bangga tunjuk abotan rasa malu uang,1,1
199,kpuid bawasluri lihat cermati rakyat disuguhi curang,-1,-1
