,Tweet,Scores
233,hati sekarang data kpu dibaiki human error urut manusia,-1.0
234,kali bawaslu serah bukti curang pemilu masuk minta bawaslu lihat proses input data kpu,-1.0
236,teller bank salah input setor sanksi lho teller bank salah input angka setor sistem bank,-1.0
237,kpuid rampok suara rakyat,-1.0
239,kalau kemudian minta real count situng didrop disetop aneh demokrasi makin maju alat,-1.0
240,komplek mega mai mana suaranya salah input kpu tps lurah padang sarai komplek mega mai kota padang,-1.0
242,kpuid ingat jendral mallaby tewas surabaya nopember,-1.0
246,kpuid nyata mana kau dusta kerja kotor kau bayar mahal goblok,-1.0
247,kpuid ngibul kau tunggu adzab,-1.0
250,berani pulang katanya takut sama,-1.0
251,kawal kpu jangan curang us salah input tiap menit,-1.0
252,viral copas bpn bangkit bawa bukti lebih salah input situng kpu it bpn desak,-1.0
253,dite ijtima ulama ikut komentar usul audit forensik kpuid selalu ditolak,-1.0
254,begoknya fadlizon lihat jangan nyinyir doang bukti server kpu berantak,-1.0
255,ungkap backend frontend sistem it bang rizal ramli nyata dasarnya rakyat ima,-1.0
256,kpu salah input,-1.0
258,hampir semua lihat curang bawaslu curang ketidak netralnya ribu kpps,-1.0
259,banyak lapor janggal input data kpuid penuh rekayasa,-1.0
260,dok survey ahli it itb lapor duga curang lembaga survei situng kpuri bawasluri,-1.0
261,kpuid cara suka tweet sebut lihat kali bagaimana moralnya kpu dasar sampah,-1.0
264,suara jokowi kpu hitung salah manusia tib manusia,-1.0
265,jumlah korban us tambah jadi tanda tanya besar sebuah tragedi massal us jatuh faktor,-1.0
267,kpuid bingung liat sikap kpu,-1.0
270,namanya ruang it kpu ruang karaoke mengambar ruang elite dibayar mahal rakyat kerja kpu,-1.0
271,dahsyat tim it prabowo lapor salah input bawaslu bukti tunjuk kpuid tindak sangat,-1.0
272,jadi alas kpuid bpn datangi bawaslu bawa bukti,-1.0
273,kpuid us temu salah input artinya,-1.0
274,pakai logika situng kpu tinggal jauh,-1.0
278,kalau jumlahnya bu salah input namanya salah niat ketua kpuid,-1.0
279,kpuid dusta kalian semua jangan harap rakyat diam curang kalian laku cara brutal,-1.0
280,anak sekolah libur awal puasa hari libur hari raya hari total libur hari versi kpuid,-1.0
283,ulama masa ulama keluar mulut sampah,-1.0
284,hoax kontainer surat suara masuk penjara hoax server kpu setting masuk penjara hoax,-1.0
285,kpuid jahat,-1.0
286,ratus kpps gugur jangan kambing hitam lelah,-1.0
287,kpuid bu salah input ang sengaja kpuid otakmu isinya,-1.0
288,kali kali salah input data wajarlah kalau ratus kali bah ribu kali bu,-1.0
291,berlama entry data unfaedah diduga hindar silpasitung publikasi manfaat,-1.0
294,banyak bacot curang tinggal lapor bawaslu,-1.0
295,kpu kata tutup diri koreksi pihak,-1.0
296,mulai hari rakyat bpn antisipasi jadi krisis politik akibat gagal kpuid intah,-1.0
297,prabowo sendiri quick count ang buat lemas utama mula model,-1.0
299,situng kpuid banyak tampil data keliru maya usah pakai istilah real count sama bodoh,-1.0
300,kpuid udah lapor bagai menjalan kompu buka,-1.0
301,fkui audiensi kpu ri ihal jumlah anggota selenggara pemilu adhoc alam sakit hingga tinggal dunia,-1.0
303,viral copas bpn bangkit bawa bukti lebih salah input situng kpu it bpn desak bawasluri henti,-1.0
305,audit forensik kpu,-1.0
306,curiga kpuid bawasluri divhumaspolri tanya kalian kongkalikong pemilu tahun hancur,-1.0
307,gedek enek muak kpuid,-1.0
309,miris video intip server kpu dinilai kelas warungan sedih,-1.0
310,kpu sering hoax sering salah input klo dikoreksi rakyat adem anyem jadi hoax,-1.0
312,kpuid jokowi kroni moga allah laknat kalian dunia akhirat allah kalian lampau batas,-1.0
315,tunggu hasil putus kpu siapa menang presiden ikut lama tahun,-1.0
316,suara gerus bu situng kpu rekap  kabupaten suara sampang susut ppk kedungdung,-1.0
317,kalau tanding bola wasit punya hak beri hukum walaupun latih koar,-1.0
318,kalau liat cepat masivenya entry data salah it kpu angka,-1.0
319,curanglah kalian tuai badai,-1.0
320,bagaimana hitung centage salah input kpu kalau url mati,-1.0
321,lempar batu sembunyi tangan,-1.0
324,kpuid dicurigai bagai jahat elektronik beri,-1.0
326,ketua kpuid harusnya mundur,-1.0
327,diminta diskualifikasi capres setop real count kpu tunduk siapa,-1.0
328,pemungutan suara hingga . salah manusia human error,-1.0
329,massa bogor beri juluk kpu komplot khianat umat,-1.0
330,stop situng kpu,-1.0
331,bawa bukti bawaslu tim it bpn lapor salah input situng kpu,-1.0
332,ang kpu baikilah dulu usah defensif nalar publik jadi bego bu soal,-1.0
333,banding dana kualitas kerjanya jauh panggang balik kpps,-1.0
335,jadi kesalah input situng kpu jadi desa pe tps pilpres,-1.0
336,kpu tunduk rizieq lewat,-1.0
337,kemaren salah tanggal sekarang salah sebut nomor disengaja cari,-1.0
338,kpuid tug tipu rakyat ditipu tinggal tunggu waktu,-1.0
341,syaiton kpu makar,-1.0
342,innalilahi wa jangan sia juang curang yah,-1.0
344,harusnya seru pilpres jangan curang kpu jujur bahaya imialisme cina lewat obor jerat utangnya,-1.0
345,salah input suara disengaja anggota kpu ancam penjara,-1.0
346,kondisi abu angkat isu diviral kubu takut salah angkat isu independensi kpu,-1.0
348,kpu bu manusia,-1.0
349,pesta demokrasi tahun alias pemilu hancur anas aktor utamanya,-1.0
351,ngaco kpuid,-1.0
353,aksi balik presentase dilaku situng kpu sungguh luar biasa hilang suara juta,-1.0
354,kpuid bu goblok bloon,-1.0
355,manipulasi form c kota banyuwangi kecmatan kalifuro kpuid gimana,-1.0
356,salah entri alas kpu server kpu buat pajang doang input data,-1.0
357,jahat oknum kpu jadi tps gerung utara upload c palsu menang paslon,-1.0
358,wahai kpuid henti sandiwara kalian jangan tonton rakyat negeri salah input situng,-1.0
359,konsolidasi simpul mungkin siapa manusia dibalik kpuid manusia jenius layak,-1.0
361,salah entri data situng kpu bulah curang human error,-1.0
363,kpuid tgpf tolak audit tolak maling,-1.0
364,us tugas input kpu kerjanya ngapain ngoreksi salah doang ajaib pisan,-1.0
369,salah imput mulu rugi,-1.0
370,situng kpu disusupi c palsu suara jokowi medan naik protes muncul tuding kpu palsu form c diinput situng,-1.0
371,mahasiswa gerak kawan mahasiswa lampung gruduk kpu lampung moga tular daerah jangan diam,-1.0
375,kata kpu tunduk te manapun tanya sama duit jabat tunduk,-1.0
376,dibaiki klo viral lol,-1.0
377,bu elit politiknya om gelandang politik bani onta blingaatan jadi,-1.0
379,bawasluri dkppri kpuid inilah salah contoh curang pemilu paling brutal modus tps tambah,-1.0
382,luar biasa tim it bpn temu salah input data situng kpuid bukti diserah bawasluri kesal,-1.0
384,kpuid sikap mu us buat salah untung arti kamu tunduk sama,-1.0
386,kpuid kalau gila susah ajar,-1.0
391,nyawa layang ujung curang kek gini iak pancasila,-1.0
392,salah input situng kpu tanggal mei bu salah,-1.0
394,bpn lapor situng kpu bawaslu bpn aju tuntut situng kpu dihenti ang lalu banyak salah,-1.0
396,kpu curang abis,-1.0
397,kpuid bajing politik,-1.0
403,bawaslu tindaklanjuti lapor bpn prabowosandi soal situng kpu,-1.0
404,sangat tuju kpu jangan invensi ulama gadungan bajing,-1.0
405,gemblung ulama jangan diikuti jelas curang cara vulgar ditonton disaji kpu malah minta dicaya,-1.0
406,tai human error kpuid human error buat menangin mukidi human error buat ngancurin bangsa,-1.0
408,coba cek latar belag komisioner kpuid jangan kpu disusupi pki rakyat curiga,-1.0
409,paling bisanya alas macam jurus ngeles kpu real count unggul input data,-1.0
410,akhir tipi arab diwakili aljazera berita bentuk curang jadi pilpres gimana,-1.0
411,audit forensik kpu,-1.0
412,trus laku salah input situng kpu susah dilacak tolonglah cepat atasi ingat suara rakyat,-1.0
413,kpuid rakyat dibuat repot akibat ketidak profesionalan kpuid,-1.0
415,it kpu media penampil bu penghitung beri kalah buat framing qc settingan angka sistem dikunci,-1.0
417,milik akal sehat kata praktek curang dibalik salah input situng kpu penuh,-1.0
418,wahai kpuri sadarkah engkau banyak tugas tinggal moga bu laknat allah buat,-1.0
419,lapor kpuri cek malam situs situng kpu,-1.0
420,makin aneh kpu,-1.0
421,maya ngebet kepengen ketemu prabowo,-1.0
422,kpuid malu manusia hehe,-1.0
423,kpuid bertaubat kalau kau bu agama minimal malu,-1.0
424,mungkin media kpu bawaslu satu anggota badan,-1.0
425,kpu takut lapar,-1.0
426,pola sama situng web kpu disusupi c palsu suara jokowi lonjak naik medan,-1.0
429,luar biasa hadiah milyar rupiah disedia siapa bukti minimal sen curang dilaku,-1.0
431,lelah mas sama qc ima tawar konsep,-1.0
433,kalau salahnya us us ulang pola sama namanya curang kpuid hari gini,-1.0
435,kpu kitar salah input data dianggap bu tindak curang padahal tim bpn klaim hasil,-1.0
436,kpuid ngeles,-1.0
438,stop situng ngaco kpu,-1.0
440,bpn bawa temu salah input brutal situng kpu tinggi jateng,-1.0
442,kpuid salah input sengaja sama curang klo ngomong sengaja salah,-1.0
443,ngomong curang dimulut siapa bukti curang bawa c dipegang masing paslon,-1.0
444,ketemu kpu akhir papar tabiat kpu salah input,-1.0
445,lho kamu kira allah punyamu sendiri makhluk cipta siapa astaghfirullah,-1.0
446,input form c dilaku situng kpu beda hasilnya fakta suara tps input,-1.0
451,diminta diskualifikasi capres setop real count kpu tunduk siapa,-1.0
453,bosan temanya malam us bunya sedang ramai c palsu situng kpu,-1.0
456,kpu smakin tolol miris,-1.0
457,kpuid goblok presiden siapa asal,-1.0
458,kpuid dulu pusing sendiri utak atik angka makar allah lebih hebat,-1.0
460,kpu tug angon keong racun,-1.0
461,situng kpu mungkin salah input benar,-1.0
462,mata kpuid picek,-1.0
463,bentur praktek curang sendiri bapak putus,-1.0
465,bawa bukti bawaslu tim it bpn lapor salah input situng kpu,-1.0
469,siang kpuid update curang jam lampung kota metro barat l tps situng kpu,-1.0
470,khusus didaerah dimenang paslon misalnya aceh sumbar relative curang imakasih kpu,-1.0
471,sore kpuid tgl jam lapor jadi ubah suara jaktim cakung cakung timur tps situng kpu,-1.0
474,kpuid becus kerja tutup situng bodoh,-1.0
475,salah input dilapor bpn semua rugi suara dibali salah input naik suara,-1.0
477,kpuid curang massiv struktur brutal,-1.0
478,bu curang jahat pidana kpu disusupi berapapun raih suara,-1.0
481,kpuid suruh bentuk tpf berani padahal curang masif mana aman,-1.0
484,kpuid emang parah in baki kurang kerjaan dibasmi ganti presiden,-1.0
485,ijtima ulama nilai jokowi curang kpu lapor bawaslu,-1.0
486,habib rizieq minta situng dihenti kpu tolak dite,-1.0
487,ang awal jujur dilihat tebar hoax hoax nenek digebuki,-1.0
488,tugas kpps tinggal sakit,-1.0
489,kpuid kpuri bawasluri paksa rakyat kawal suaranya sendiri wasit dicaya,-1.0
490,kpu ri i santun keluarga kpps wafat,-1.0
491,kacau situng kpu disusupi c palsu suara jokowi medan tambah,-1.0
494,kalian lihat data kpu gelembung suara daerah kalian segeralah ambil buktinya usut curang,-1.0
495,kpuid kpu sampah kardus,-1.0
496,hnurwahid evialfa kpuid kslahan input data revisidi baiki suai c,-1.0
497,kpuid tunduk diem bantu curang go hell motherfucker moga jawab hisab puas allah,-1.0
498,salah alas curang kesalan muncul ulang kali situng kpu salah input data,-1.0
499,prof tular visa kpu,-1.0
500,yaelah pake simpel udah keliatan jauh bedanya qc situng kpu keliatan,-1.0
503,akun resmi kpuid online tweet akun buzzer hina kubu hina habib rizieq bu masalah,-1.0
504,kpuid lagak lu tunduk sama siapap isi kepala curang melulu,-1.0
505,kpu bawaslu bingung us jadi pemilu,-1.0
506,post kali klo pemilu jangan daftar kpu daftar spbu minyak muka kau tu,-1.0
509,yth kpuid mohon dicek input suara tps ds larang utara larang kota tangerang banten form c,-1.0
510,kpuid akibat hoaxnya surat suara kontainer c dimanipulasi surat suara,-1.0
512,situng bentuk opini hasil real count sama quick count bahaya,-1.0
515,hasil pemilu ditentu tanya real count kpu lalu website kpu giring opini,-1.0
519,kpu tipu bohong jilat uang rakyat,-1.0
522,tabok sampe lebam mana buktinya visum surat dok bap konpres bukti rezim,-1.0
523,kalau salah input kpu dikoreksi ditemu salah input tutup ungkap mungkin,-1.0
524,efek lalu bela kpu jadi salah input,-1.0
526,pengen lihat hebatnya situng kpu kata wakil ketua dpr zon,-1.0
528,bpn prabowosandi lapor kpu lembaga survei bawaslu direktur hukum advokasi,-1.0
529,moga jadi awal baik bongkar siluman system it kpu,-1.0
530,awasi us situng kpu jangan rampok keliar,-1.0
532,iya bongkar it bu gedung kpu daerah jauh,-1.0
535,ketua kpu tinggal tiba tiba duga diracun kpps ratus lebih tinggal sungguh aneh prihatin,-1.0
536,innalillahi nambah dosa kpuid,-1.0
537,kpuid bawasluri nyata salah input bu salah curang,-1.0
538,jumlah tps salah input data kpu data koreksi salah input beberapa signifi paslon mas,-1.0
540,kpuid tai bajing main suara rakyat triliun habis buat pemilu kalian,-1.0
542,bpn prabowo lapor situng kpu bawaslu,-1.0
543,kpuid lalu gebukin massa mikir maling suara rakyat,-1.0
544,kpuid sakit bangsa jujur musnah,-1.0
547,kecil selisih selisih sampe kondisi kpu carut marut begini,-1.0
548,kpuid bu salah input udah kriminal palsu dokumen negara lembaga kalau udah,-1.0
551,kpuid c dipindai suai hasil kpps sama kpu ri dirubah jadi c palsu,-1.0
552,teganya hadap juang tps kpu bawaslu dasar malu,-1.0
555,tangkap dong ketua kpuid paling bertanggung jawab bawasluri ulah wae,-1.0
557,lepas pemilu kalian kpuid paling dicari,-1.0
558,kali kalau pemilu males ajak kalian kpuid seh bu salah input scanernya bermasalah sama otaknya,-1.0
562,kpuid bohbrok politik indonesia ckckck,-1.0
563,powerofreceh bawasluri kpuid brutal,-1.0
564,kpuid bawasluri mei bayang mei salah situng segala curang,-1.0
567,yokoersa lyamadinaadilla hahaa kpulah kwalitas kpu salah input melulu anehnya salah in,-1.0
568,rekapitulasi kpu banjarbaru jokowimaruf tinggal suara,-1.0
569,detikcom banyaknya tugas tinggal salah satu sistem sdh dirubah se,-1.0
570,cebong kotor temlen mending ditulis bener skrg sy tanya input situng kpu s,-1.0
572,amin minta audit forensik kpu jawab hasil pemilu ditentu it klo gitu ngapain pake real count kpu s,-1.0
573,mainmain bawa bukti salah hitung kpu tim it bpn datangi bawaslu,-1.0
574,bpn lapor ribu salah data situng kpu,-1.0
575,cek pukul c suara situng kpu jadi ganti untung,-1.0
576,besok sy beber data salah satu tim bpnrelawanpendukung prabowo katanya temu salah situng kpuid amp simpu,-1.0
578,entah maksud tofa kawannya lempar tuduh pemilu curang dasar temu keliru input situng padahal,-1.0
579,bertemanm rasm hati banyak alih isufokus kinerja kpu lengah dikit tewas,-1.0
580,gunromli kpuid mmprosesnya suai hukum sop kpuea proses benalu,-1.0
581,antaranews kpu kalian gila buta budeg yayang edar fakta bu opini,-1.0
583,kpu kira koreksi banding hasilnya dgn punya tni malah pura gk beri,-1.0
584,sdh spt kpuid salah input turut c sby presiden ri diinput pud,-1.0
587,prof sby bunya presiden akibat deket deket kpu,-1.0
588,masabudiman ingat berita media kompas desember kata salah sedikit pemilu disebut g,-1.0
590,upaya hilang saksi c ditingkat tps cara masif akibat mubahala gus nur doa hrs pd pet,-1.0
592,lapor salah input situng kpu relawan it bpn desak bawaslu henti situng kpu temu sen salah,-1.0
595,situng kpu dinilai tambah kacau brutal,-1.0
596,bpn serah dokumen duga curang sistem hitung it kpu situng bawaslu kini bpn balik menan,-1.0
598,kpu blh netap jokowi menang pemilujokowi jd presiden serah tp salah rakyat marah,-1.0
601,putrabanten janenur akibat hoaxnya surat suara kontainerada c dimanipulasisurat suara o,-1.0
602,rickydp adets mubarokadonis salah hitung gw peduli sampah komen bila,-1.0
603,kpuid kpuid emang undanganundang siapa jangan jadi otak otak udang dong anggota kpuid,-1.0
606,zesukma vtannnd cabulrizik kpuid rieziq ituapa sumbangsih rieziq hadap utuh nkri,-1.0
608,salah input suara disengaja anggota kpu ancam penjara,-1.0
610,seneng ket kpu c arif budimanyg tiada arifnya dlm hidupnyaakhlak suai na,-1.0
612,powerofreceh bangpino akibat hoaxnya surat suara kontainerada c dimanipulasisurat suara ot,-1.0
615,helmifelis zarazettirazr kpuid iya padahal ramadhan justru setan dibelenggu jadi manusia ma,-1.0
616,republikaonline system error human error manajemen error kpu error dibukti maya audit jangan ditolak,-1.0
618,prof ente uda kena visa input data kpu korupsi angka presiden ente tulis uda koplak,-1.0
622,kpuid bawasluri fahrihamzah curang kpu dosa nuduh curang dosa dong,-1.0
623,kpuid us juang bapak tdk usah hirau stres berat,-1.0
625,hnurwahid maspolo kpuid berapa ribu lembar c palsu hnurwahid buatlah rakyat cerdas data n angka jang,-1.0
629,anak kelas bobol situs kpu pemilu hoax hatihati jadi sebut tahun we,-1.0
630,oppositelinks kpuid bawasluri monggo bukti,-1.0
634,kpuid bingung bagaimana caranya tahan curang,-1.0
635,tolak narasi curang,-1.0
637,mikir mlambat gimana mubahalah diganti sama maafan curang so,-1.0
638,dahsyat tim it prabowo lapor salah input bawaslu buktibukti tunjuk kpuid tindak sang,-1.0
639,pemilu paling buruk panjang sejarah bu titieksoeharto tegas pemilu l,-1.0
640,dhanihendy kpuid bawasluri kawalpemilu onnowpurbo sandiuno prabowo goblok,-1.0
642,salah sistem situng kpu lu tindak pidana la,-1.0
643,zarafaul nsusan libra kpuid wr fagtng bangzul sarpakenaka pantunjp ariantobulolo dasar,-1.0
