,Unnamed: 0,Tweet,Scores
126,180,serius t servernya begini pleasa kpuid lebih dicaya jangan takut diaudit forensik,-1.0
127,181,bpn prabowo sandi halal macam cara menang walaupun posisi kalah cara biadab dilaku,1.0
128,182,bayang tug input data kpu kerja bank berapa milyar rupiah uang nasabah lenyap dungu bangga,-1.0
129,183,kpuid goblok,-1.0
130,184,like kpuid,1.0
131,185,trus c palsu,-1.0
132,187,propinsi aceh hasil rapat pleno kip kpu tingkat kota aceh utk pilpres siapakah kuat kota banda,1.0
133,188,gila bener situng dikendali intruder fungsi ubah data disesuai qc pusatnya gambir pakar,-1.0
134,191,kpuid salahnya bu sedikit salah hampir tiap hari,-1.0
135,192,tps gerung utara camat gerung lombok barat ntb input web kpu suai c asli janggal c,-1.0
136,194,kpuid bawasluri lihat cermati rakyat disuguhi curang,-1.0
137,195,kpuid bayar janji hutang hutang dibayar kalau dibayar sama,-1.0
138,196,atur kpu no tahun pasal ayat disebut c dipindai situng paling lambat hari,-1.0
139,197,dukung prabowo ntb minta kpuid diskualifikasi jokowimaruf desak bawaslu kpu putus batal,-1.0
140,199,situng kpu layak salah input diancam pidana,-1.0
141,200,kalau stop kpu ngeyel,-1.0
142,201,jumlah tumpang beoing max kitar jatuh seluruh dunia prihatin pemilu indonesia,-1.0
143,202,server kpu rasa warnet,1.0
144,205,bedanya jawa barat sama jawa tengah n jauh kali selisih inputannya kalau fair kpu mintol input,-1.0
145,207,resmi bpn lapor data salah input situng kpuid bawasluri,-1.0
146,208,enak ngomong ngademin beresin kpu sby tinggal bilang jujur sby kaya anak,1.0
147,209,situng kpu dibiayai rakyat jangan dipake buat ngebohongin ngebodohi rakyat,-1.0
148,210,cuman laksana intah hr pakai alas segala situng kpu bermasalah,1.0
149,211,baru medan sumut jateng jatim bali lebih gila jateng wow jujur,1.0
150,213,kpu depok salah input suara jokowi ditulis,-1.0
151,214,moga tugas sengaja pangkas suara dipangkas umurnya dipangkas rezekinya amin,1.0
152,215,bpn prabowo serah bukti duga curang situng kpu bawaslu duga curang,-1.0
153,218,kata pepatah anjing gonggong kpu tetap lalu moga curang dilaknat allaha amin,-1.0
154,219,fadlizon ngajak ikut dukung stop situng kpu ogah,-1.0
155,222,situng kpu sabtu pagi lihat jokowimaruf unggul sen,1.0
156,223,maksudnya takut justru tegas didepan publik intah lalu menko tolak tunduk,-1.0
157,224,negaraku hancur lebur palsu c masuk tanda tangan palsu sebuah jahat kasus c tps gerung,-1.0
158,225,tarawih rakaat witir rakaat rakaat tarawih rakaat witir rakaat rakaat awas salah input good pagi,-1.0
159,226,makin jelas curang telanjang laknatlah kalian orangorang curang,-1.0
160,228,kpuid salah sedikit disebut gagal kalau salah banyak sebut,-1.0
161,229,kpuid caya sama kpu banyak omong mulai kardus anti air kuat katanya dulu hadeh sekarang dibilang human error,-1.0
162,230,lemhannas minta semua pihak paksa kpu,1.0
163,231,bapak jangan koar medsos bicara sama kpu kasus diselesai cara buka,-1.0
164,234,hawa negatif mendung kelabu selimut kpu,-1.0
165,235,apresiasi khusus presiden tokohtokoh nasional atas laksana pemilu raya cara,1.0
166,236,banyak data suai c prodem minta situng kpu dihenti,1.0
167,237,stop situng kpu pola hitung manual disaksi publik cara buk,1.0
168,239,kpuid serius tunduk jangan dibibir dihati,-1.0
169,242,kpuid usah tutup mata zolimi karna te rakyat te karna rasa suara zolimi,-1.0
170,243,kpuid jangan jadi punya mata lihat punya telinga,-1.0
171,245,tunggu situng kpu sby imbau semua pihak tahan diri,1.0
172,246,ketua pbnu cayai hasil hitung kpu,1.0
173,248,beberapa besarkah caya hadap situs pilpres kpu rasa khawatir,-1.0
174,249,situng kpu bu hitung menang pilpres hitung manual dianggap sah kpu,1.0
175,250,kpu ri bawaslu selidik sbenarnya tuju harap dibalik,1.0
176,252,c dibikin rangkap dg isi data sama tanda tangan cara sah masing saksi diberika satu,1.0
177,253,kpu pangkalpinang selesai rekapitulasi tujuhkecamatan,1.0
178,254,sukses buat kpu selenggara pemilu lancar jujur buat,1.0
179,256,uslah tunjuk bukti fakta jangan nah lelah lawan curang,-1.0
180,257,jejak sangka mulai admin kpuid,-1.0
181,258,jokowi kpuid mesti takut bunya udah menang paham sama kalian wkwk,1.0
182,259,tim cari fakta curang tim bpn rosiade kalau curang tolak bentuk tim cari,-1.0
183,260,bila nyata soegianto soelistiono benar nyata dikategori salah curang jahat kpuid,-1.0
184,261,ang waras selenggara pemilu suara rampok kaya negara,-1.0
185,262,udah buzer kpu ri bersih dulu kpu sekarang dukung,1.0
186,263,tolak people power aliansi mahasiswa bandung siap kawal kpu,1.0
187,265,kpuid eits hati moga ngetuitnya ikhlas,1.0
188,266,moga kpu tetap amanah komisioner kpu ilham saputra komisi pilih umum kpu curang,1.0
189,268,situng kpu dihack intruder depan stasiun gambir dukung pasang calon paslon presiden prabowo subiantow,-1.0
190,270,lebih salah input data situng kpu,-1.0
191,271,dipajang kpu lalu situng nyata banyak kali salah lebih parah palsu c udah salah segera,-1.0
192,272,main lapak kardus kpu chek in hotel semeru bogor segala dungu,-1.0
193,273,abotan bekas warnet sekarang disimpan tor kpu bangga tunjuk abotan rasa malu uang,1.0
194,275,jatah libur kena piket kpu mati,-1.0
195,276,ingat berita media kompas desember kata salah sedikit pemilu disebut gagal,-1.0
196,277,situng kpu baru capai sen,1.0
197,280,kpu bawaslu diberi bukti lebih salah beri rakyat transparansi jujur adillah rakyat,-1.0
198,282,kpuid trus ngapain kamu follow lupa sibuk ngurus anak sama suami,-1.0
199,283,masif salah situng kpuid sinting fb pakar it univ airlangga prof soegianto soelistiono,-1.0
200,284,kerja mu kek gitu,1.0
201,287,bah kait pencurangan c aspal wanti sejak lama bantu kpu,-1.0
202,288,urus salah kampret keluar namanya keliru manusiawi manusia begok,-1.0
203,290,pakar it universitas airlangga temu salah input data situng kpu henti situng kpu bagaimana,-1.0
204,292,bang karni buya kpu te pihak manapun,1.0
205,294,pakai etika sedikit sabar sedikit hasil kpu umum kasih,1.0
206,299,darurat curang kait c input data kpu aktivis desak kpuid tutup situng,-1.0
207,300,asal ngemeng tong kemarin tantang,1.0
208,304,semua postingan dihapus lebih dulu akun professor soegianto soelistiono bongkar curang kpu tewas,-1.0
209,305,penting rakyat penting golong turut beberapa lembaga survey,1.0
210,306,update baru hasil real count kpu pagi mei suara masuk,1.0
211,307,bpn lapor kpu lembaga survei bawaslu,-1.0
212,308,uji benar ima rc kpuid main aman oportunist capek,1.0
213,309,kpuid curang ma,-1.0
214,310,henti situng kpu salah sangat brutal banyak salah input data situng jumlah,-1.0
215,311,setauku situng bu dasar tetap jumlah suara tetap jumlah suara tetap hitung manual situng,1.0
216,314,situs kpu sama survey qc menangin bayar bentuk opini,-1.0
217,315,akhir bpn prabowosandi buka rahasia curang hasil input data kpuid banyak kemarin,-1.0
218,316,kpuid bawasluri dkppri penanggungjawab selenggara pemilu cara caya rakyat yuk,-1.0
219,317,kalau aplikasi situng buka luang salah input ang baik stop baiki dulu artinya,-1.0
220,319,update jelang pagi data masuk selisih suara juta moga wiken lancar senang,1.0
221,321,minta rizieq shihab henti situng kpu dinilai aneh,-1.0
222,323,intelijen eks kopassus oasi cipta kondisi kpu curang,-1.0
223,324,kawatir hitung kpu hasilnya beda hitung tim tetap hitung,1.0
224,327,maaf prof inilah udah bela kpuid curang jadi ngehitungnya ikut hitung kpu,1.0
225,328,hukum alam sama hukum rimba satu kabupaten beda camat,1.0
226,331,tutup situng komisioner kpu dijerat pidana,-1.0
227,332,kpuid salah tegur tahan salah dungu,-1.0
228,333,baru governoor of indonesia,1.0
229,334,pecah maya jangan ditambah kpu bawaslu pasti bener kasihan pemilu,1.0
230,335,modus baru lalu tps menang dgn suara tanda tangan semua saksi sampe kpu c beda,1.0
231,337,heran kampret awalnya kalah qc suruh nunggu kpu gilir hitung real kpu hampir selesai kelejotan,1.0
232,338,nyata ruang kpu macam tor kalurahan sempit alat t dihargai segitu,-1.0
233,339,hati sekarang data kpu dibaiki human error urut manusia,-1.0
234,340,kali bawaslu serah bukti curang pemilu masuk minta bawaslu lihat proses input data kpu,-1.0
235,341,selamat pagi proses semua data masuk proses data menang paslon,1.0
236,343,teller bank salah input setor sanksi lho teller bank salah input angka setor sistem bank,-1.0
237,344,kpuid rampok suara rakyat,-1.0
238,346,kpuid suara naik duluan lu revisi naik belag lu revisi duh kacau,1.0
239,348,kalau kemudian minta real count situng didrop disetop aneh demokrasi makin maju alat,-1.0
240,349,komplek mega mai mana suaranya salah input kpu tps lurah padang sarai komplek mega mai kota padang,-1.0
241,350,mimin kpuid sayang kapan postingan like gitu mimin like postingan,1.0
242,351,kpuid ingat jendral mallaby tewas surabaya nopember,-1.0
243,353,oppositelinks kpuid bawasluri cara simpen video tweeps gimana kudet bener emak,1.0
244,355,maspiyuuu kpuid jarot kalah sumut,1.0
245,356,kpu hasil pemilu ditentu it semua beri situng kpu us laku input data,1.0
246,358,kpuid nyata mana kau dusta kerja kotor kau bayar mahal goblok,-1.0
247,359,kpuid ngibul kau tunggu adzab,-1.0
248,361,cek situs hitung kpuid jaksel banyak kosong gimana,1.0
249,362,baik situng kpu dihenti lalu banyak errornya,1.0
250,363,berani pulang katanya takut sama,-1.0
251,364,kawal kpu jangan curang us salah input tiap menit,-1.0
252,365,viral copas bpn bangkit bawa bukti lebih salah input situng kpu it bpn desak,-1.0
253,367,dite ijtima ulama ikut komentar usul audit forensik kpuid selalu ditolak,-1.0
254,369,begoknya fadlizon lihat jangan nyinyir doang bukti server kpu berantak,-1.0
255,370,ungkap backend frontend sistem it bang rizal ramli nyata dasarnya rakyat ima,-1.0
256,371,kpu salah input,-1.0
257,372,kpu pangkalpinang selesai rekapitulasi tujuh camat,1.0
258,374,hampir semua lihat curang bawaslu curang ketidak netralnya ribu kpps,-1.0
259,375,banyak lapor janggal input data kpuid penuh rekayasa,-1.0
260,376,dok survey ahli it itb lapor duga curang lembaga survei situng kpuri bawasluri,-1.0
261,377,kpuid cara suka tweet sebut lihat kali bagaimana moralnya kpu dasar sampah,-1.0
262,378,dukung habis kpu kerja maksimal pihak,1.0
263,379,kpu bayar taipan partisipan pikir utnya sendiri punya rasa cinta bangsa,1.0
264,381,suara jokowi kpu hitung salah manusia tib manusia,-1.0
265,383,jumlah korban us tambah jadi tanda tanya besar sebuah tragedi massal us jatuh faktor,-1.0
266,384,tv sampe hitung masuk hitung situng kpu posisi ubah aneh,1.0
267,386,kpuid bingung liat sikap kpu,-1.0
268,387,prabowo kalah turut quick count turut real count situng kpuid menang turut bacotnya,1.0
269,388,iya rakyat legowo politik benar rakyat cara langsung,1.0
270,389,namanya ruang it kpu ruang karaoke mengambar ruang elite dibayar mahal rakyat kerja kpu,-1.0
271,390,dahsyat tim it prabowo lapor salah input bawaslu bukti tunjuk kpuid tindak sangat,-1.0
272,391,jadi alas kpuid bpn datangi bawaslu bawa bukti,-1.0
273,392,kpuid us temu salah input artinya,-1.0
274,394,pakai logika situng kpu tinggal jauh,-1.0
275,395,masalah situng kpu hubung server masalahnya software bu hardware,1.0
276,396,warning semua kaget lihat video ketua kpu tunjuk ruang it kpu lu informasi bu ruang it kpu,1.0
277,397,sekarang teknologi informasi it kpu canggih habis dana milyaran rupiah gagal penuh,1.0
278,398,kalau jumlahnya bu salah input namanya salah niat ketua kpuid,-1.0
279,399,kpuid dusta kalian semua jangan harap rakyat diam curang kalian laku cara brutal,-1.0
280,400,anak sekolah libur awal puasa hari libur hari raya hari total libur hari versi kpuid,-1.0
281,401,betul ikhtiar total apapun hasil kpu tunggu arah ulama,1.0
282,402,kpuid kalau jae menang kelar rekapnya cukup senyum liat laku mu,1.0
283,403,ulama masa ulama keluar mulut sampah,-1.0
284,405,hoax kontainer surat suara masuk penjara hoax server kpu setting masuk penjara hoax,-1.0
285,406,kpuid jahat,-1.0
286,408,ratus kpps gugur jangan kambing hitam lelah,-1.0
287,409,kpuid bu salah input ang sengaja kpuid otakmu isinya,-1.0
288,410,kali kali salah input data wajarlah kalau ratus kali bah ribu kali bu,-1.0
289,411,gini lho tuju tinggal gimana tanggap bawaslu pihak kait,1.0
290,412,sekjen golkar idrus marham yakin syarat kpu lengkap,1.0
291,413,berlama entry data unfaedah diduga hindar silpasitung publikasi manfaat,-1.0
292,414,kpu gelar rapat pleno rekapitulasi suara,1.0
293,415,soal server kpu dioasi sila tanya menang tender sewa drc kpu pt cyber network,1.0
294,418,banyak bacot curang tinggal lapor bawaslu,-1.0
295,419,kpu kata tutup diri koreksi pihak,-1.0
296,421,mulai hari rakyat bpn antisipasi jadi krisis politik akibat gagal kpuid intah,-1.0
297,422,prabowo sendiri quick count ang buat lemas utama mula model,-1.0
298,423,menang pilpres hasil hitung manual kpu ketua komisi pilih umum kpu arief budiman tegas,1.0
299,424,situng kpuid banyak tampil data keliru maya usah pakai istilah real count sama bodoh,-1.0
300,425,kpuid udah lapor bagai menjalan kompu buka,-1.0
301,426,fkui audiensi kpu ri ihal jumlah anggota selenggara pemilu adhoc alam sakit hingga tinggal dunia,-1.0
302,429,kpuid komisi tipu umat,1.0
303,430,viral copas bpn bangkit bawa bukti lebih salah input situng kpu it bpn desak bawasluri henti,-1.0
304,431,parpol koalisi fpi hti dukung garis keras lainnya us manuver giring opini,1.0
305,432,audit forensik kpu,-1.0
306,433,curiga kpuid bawasluri divhumaspolri tanya kalian kongkalikong pemilu tahun hancur,-1.0
307,434,gedek enek muak kpuid,-1.0
308,435,bapak jurkamnas hebat datanya darimana kpu laku proses,1.0
309,436,miris video intip server kpu dinilai kelas warungan sedih,-1.0
310,440,kpu sering hoax sering salah input klo dikoreksi rakyat adem anyem jadi hoax,-1.0
311,441,salah semangati kpu lebih penting semangat dirinya tetap sehat,1.0
312,442,kpuid jokowi kroni moga allah laknat kalian dunia akhirat allah kalian lampau batas,-1.0
313,443,bener banget kpuid duit kalian guna duit rakyat,1.0
314,444,prof tamburin moga bawaslu adil cepat tanggap selesai kisruh moga kpu segera netral,1.0
315,446,tunggu hasil putus kpu siapa menang presiden ikut lama tahun,-1.0
316,447,suara gerus bu situng kpu rekap  kabupaten suara sampang susut ppk kedungdung,-1.0
317,448,kalau tanding bola wasit punya hak beri hukum walaupun latih koar,-1.0
318,449,kalau liat cepat masivenya entry data salah it kpu angka,-1.0
319,451,curanglah kalian tuai badai,-1.0
320,453,bagaimana hitung centage salah input kpu kalau url mati,-1.0
321,454,lempar batu sembunyi tangan,-1.0
322,455,kalau menang seminggu udah rampung realcount kpuid karna menang sengaja dilamain,1.0
323,458,mohon dikoreksi tayang real count kpuid imakasih,1.0
324,459,kpuid dicurigai bagai jahat elektronik beri,-1.0
325,460,didukung golkar jokowi menang suara atas sen pemilu datang,1.0
326,462,ketua kpuid harusnya mundur,-1.0
327,463,diminta diskualifikasi capres setop real count kpu tunduk siapa,-1.0
328,464,pemungutan suara hingga . salah manusia human error,-1.0
329,465,massa bogor beri juluk kpu komplot khianat umat,-1.0
330,466,stop situng kpu,-1.0
331,467,bawa bukti bawaslu tim it bpn lapor salah input situng kpu,-1.0
332,469,ang kpu baikilah dulu usah defensif nalar publik jadi bego bu soal,-1.0
333,470,banding dana kualitas kerjanya jauh panggang balik kpps,-1.0
334,471,kpu hasil pemilu ditentu it semua beri situng kpu us laku input data,1.0
335,473,jadi kesalah input situng kpu jadi desa pe tps pilpres,-1.0
336,474,kpu tunduk rizieq lewat,-1.0
337,475,kemaren salah tanggal sekarang salah sebut nomor disengaja cari,-1.0
338,477,kpuid tug tipu rakyat ditipu tinggal tunggu waktu,-1.0
339,480,tunjuk jelang ramadhan menang bangsa indonesia insya allah hitung suara insya allah aman,1.0
340,481,warning anak kecil anggap server sewa kpu sangat mudah obos coba tanya anak paud,1.0
341,482,syaiton kpu makar,-1.0
342,483,innalilahi wa jangan sia juang curang yah,-1.0
343,484,kpuid suara naik duluan lu revisi naik belag lu revisi duh kacau,1.0
344,485,harusnya seru pilpres jangan curang kpu jujur bahaya imialisme cina lewat obor jerat utangnya,-1.0
345,486,salah input suara disengaja anggota kpu ancam penjara,-1.0
346,487,kondisi abu angkat isu diviral kubu takut salah angkat isu independensi kpu,-1.0
347,488,moga bawaslu adil cepat tanggap selesai kisruh moga kpu segera netral,1.0
348,492,kpu bu manusia,-1.0
349,494,pesta demokrasi tahun alias pemilu hancur anas aktor utamanya,-1.0
350,495,dpt kabupaten buleleng undang disalur berati salur sedang,1.0
351,496,ngaco kpuid,-1.0
352,497,kalau daerah menang caya kpu kalau daerah kalah caya,1.0
353,498,aksi balik presentase dilaku situng kpu sungguh luar biasa hilang suara juta,-1.0
354,500,kpuid bu goblok bloon,-1.0
355,501,manipulasi form c kota banyuwangi kecmatan kalifuro kpuid gimana,-1.0
356,502,salah entri alas kpu server kpu buat pajang doang input data,-1.0
357,503,jahat oknum kpu jadi tps gerung utara upload c palsu menang paslon,-1.0
358,504,wahai kpuid henti sandiwara kalian jangan tonton rakyat negeri salah input situng,-1.0
359,507,konsolidasi simpul mungkin siapa manusia dibalik kpuid manusia jenius layak,-1.0
360,508,tim relawan prabowo tangan bidang informasi teknologi datang gedung bawaslu datang,1.0
361,509,salah entri data situng kpu bulah curang human error,-1.0
362,513,kpuid dukung support nah surut maju us pantang mundur,1.0
363,514,kpuid tgpf tolak audit tolak maling,-1.0
364,515,us tugas input kpu kerjanya ngapain ngoreksi salah doang ajaib pisan,-1.0
365,516,situng kpu jokowimaruf unggul kitar juta suara,1.0
366,518,mohon kpuid minta team inputnya bantu tambahin presiden gusdur tadi minta sahabat baik,1.0
367,519,golkar serah tujuh kotak isi syarat daftar kpu,1.0
368,520,utnya arief budiman lihat gendut banget samping t aman,1.0
369,521,salah imput mulu rugi,-1.0
370,522,situng kpu disusupi c palsu suara jokowi medan naik protes muncul tuding kpu palsu form c diinput situng,-1.0
371,526,mahasiswa gerak kawan mahasiswa lampung gruduk kpu lampung moga tular daerah jangan diam,-1.0
372,528,mantul usah dengar berisik ang pikir siapa lanjut hitung,1.0
373,529,sistem it kpu dirancang ikut qc suara menang prabowo masuk otomatis tps suara,1.0
374,530,suka kalian,1.0
375,532,kata kpu tunduk te manapun tanya sama duit jabat tunduk,-1.0
376,533,dibaiki klo viral lol,-1.0
377,535,bu elit politiknya om gelandang politik bani onta blingaatan jadi,-1.0
378,537,menang telak jawa barat jawa timur dki banten aceh padang ntb,1.0
379,538,bawasluri dkppri kpuid inilah salah contoh curang pemilu paling brutal modus tps tambah,-1.0
380,539,heran klaim menang deklarasi menang sujud syukur iak kpu curang,1.0
381,540,heran aplikasinya validasi jumlah suara sah jumlah,1.0
